Date,Close
26-Jun-13,"$11,951.90"
27-Jun-13,"$12,005.78"
28-Jun-13,"$12,129.11"
2-Jul-13,"$12,178.38"
3-Jul-13,"$12,145.68"
4-Jul-13,"$12,166.66"
5-Jul-13,"$12,134.91"
8-Jul-13,"$12,208.87"
9-Jul-13,"$12,297.09"
10-Jul-13,"$12,306.93"
11-Jul-13,"$12,493.26"
12-Jul-13,"$12,462.18"
15-Jul-13,"$12,528.35"
16-Jul-13,"$12,516.89"
17-Jul-13,"$12,568.77"
18-Jul-13,"$12,628.85"
19-Jul-13,"$12,685.13"
22-Jul-13,"$12,758.38"
23-Jul-13,"$12,745.38"
24-Jul-13,"$12,672.30"
25-Jul-13,"$12,669.14"
26-Jul-13,"$12,647.90"
29-Jul-13,"$12,669.04"
30-Jul-13,"$12,581.75"
31-Jul-13,"$12,486.64"
1-Aug-13,"$12,593.96"
2-Aug-13,"$12,603.25"
6-Aug-13,"$12,469.32"
7-Aug-13,"$12,412.73"
8-Aug-13,"$12,552.92"
9-Aug-13,"$12,542.13"
12-Aug-13,"$12,594.27"
13-Aug-13,"$12,642.19"
14-Aug-13,"$12,639.30"
15-Aug-13,"$12,704.52"
16-Aug-13,"$12,736.92"
19-Aug-13,"$12,588.02"
20-Aug-13,"$12,670.11"
21-Aug-13,"$12,573.08"
22-Aug-13,"$12,674.35"
23-Aug-13,"$12,762.30"
26-Aug-13,"$12,760.30"
27-Aug-13,"$12,591.21"
28-Aug-13,"$12,607.22"
29-Aug-13,"$12,704.73"
30-Aug-13,"$12,653.90"
3-Sep-13,"$12,740.50"
4-Sep-13,"$12,757.81"
5-Sep-13,"$12,845.06"
6-Sep-13,"$12,820.92"
9-Sep-13,"$12,854.64"
10-Sep-13,"$12,824.48"
11-Sep-13,"$12,825.42"
12-Sep-13,"$12,701.05"
13-Sep-13,"$12,723.40"
16-Sep-13,"$12,816.88"
17-Sep-13,"$12,834.11"
18-Sep-13,"$12,931.40"
19-Sep-13,"$12,926.78"
20-Sep-13,"$12,806.47"
23-Sep-13,"$12,811.18"
24-Sep-13,"$12,848.89"
25-Sep-13,"$12,836.71"
26-Sep-13,"$12,841.62"
27-Sep-13,"$12,844.08"
30-Sep-13,"$12,787.19"
1-Oct-13,"$12,847.44"
2-Oct-13,"$12,839.00"
3-Oct-13,"$12,735.12"
4-Oct-13,"$12,758.65"
7-Oct-13,"$12,788.25"
8-Oct-13,"$12,692.41"
9-Oct-13,"$12,730.33"
10-Oct-13,"$12,894.41"
11-Oct-13,"$12,892.11"
15-Oct-13,"$12,931.46"
16-Oct-13,"$12,957.21"
17-Oct-13,"$13,036.36"
18-Oct-13,"$13,136.09"
21-Oct-13,"$13,186.53"
22-Oct-13,"$13,248.06"
23-Oct-13,"$13,243.32"
24-Oct-13,"$13,324.75"
25-Oct-13,"$13,399.42"
28-Oct-13,"$13,371.84"
29-Oct-13,"$13,440.61"
30-Oct-13,"$13,455.33"
31-Oct-13,"$13,361.26"
1-Nov-13,"$13,337.46"
4-Nov-13,"$13,361.78"
5-Nov-13,"$13,361.71"
6-Nov-13,"$13,380.41"
7-Nov-13,"$13,294.20"
8-Nov-13,"$13,378.33"
11-Nov-13,"$13,358.39"
12-Nov-13,"$13,326.04"
13-Nov-13,"$13,370.66"
14-Nov-13,"$13,431.38"
15-Nov-13,"$13,482.57"
18-Nov-13,"$13,458.06"
19-Nov-13,"$13,442.77"
20-Nov-13,"$13,430.01"
21-Nov-13,"$13,475.33"
22-Nov-13,"$13,478.34"
25-Nov-13,"$13,472.22"
26-Nov-13,"$13,349.77"
27-Nov-13,"$13,362.06"
28-Nov-13,"$13,370.83"
29-Nov-13,"$13,395.40"
2-Dec-13,"$13,419.57"
3-Dec-13,"$13,319.87"
4-Dec-13,"$13,304.92"
5-Dec-13,"$13,200.40"
6-Dec-13,"$13,280.72"
9-Dec-13,"$13,312.78"
10-Dec-13,"$13,324.01"
11-Dec-13,"$13,133.42"
12-Dec-13,"$13,114.39"
13-Dec-13,"$13,125.70"
16-Dec-13,"$13,184.41"
17-Dec-13,"$13,180.16"
18-Dec-13,"$13,334.73"
19-Dec-13,"$13,392.20"
20-Dec-13,"$13,399.60"
23-Dec-13,"$13,447.70"
24-Dec-13,"$13,518.02"
27-Dec-13,"$13,587.98"
30-Dec-13,"$13,581.39"
31-Dec-13,"$13,621.55"
2-Jan-14,"$13,594.19"
3-Jan-14,"$13,548.86"
6-Jan-14,"$13,495.54"
7-Jan-14,"$13,596.93"
8-Jan-14,"$13,614.63"
9-Jan-14,"$13,629.41"
10-Jan-14,"$13,747.52"
13-Jan-14,"$13,681.48"
14-Jan-14,"$13,692.38"
15-Jan-14,"$13,772.58"
16-Jan-14,"$13,831.58"
17-Jan-14,"$13,888.21"
20-Jan-14,"$13,990.29"
21-Jan-14,"$13,951.77"
22-Jan-14,"$13,988.20"
23-Jan-14,"$13,932.97"
24-Jan-14,"$13,717.76"
27-Jan-14,"$13,582.29"
28-Jan-14,"$13,687.66"
29-Jan-14,"$13,643.22"
30-Jan-14,"$13,735.28"
31-Jan-14,"$13,694.94"
3-Feb-14,"$13,486.20"
4-Feb-14,"$13,504.48"
5-Feb-14,"$13,559.69"
6-Feb-14,"$13,713.40"
7-Feb-14,"$13,786.50"
10-Feb-14,"$13,794.18"
11-Feb-14,"$13,880.99"
12-Feb-14,"$13,900.49"
13-Feb-14,"$14,001.65"
14-Feb-14,"$14,054.76"
18-Feb-14,"$14,077.47"
19-Feb-14,"$14,119.73"
20-Feb-14,"$14,210.37"
21-Feb-14,"$14,205.72"
24-Feb-14,"$14,227.08"
25-Feb-14,"$14,188.98"
26-Feb-14,"$14,188.58"
27-Feb-14,"$14,214.74"
28-Feb-14,"$14,209.59"
3-Mar-14,"$14,212.74"
4-Mar-14,"$14,289.86"
5-Mar-14,"$14,304.17"
6-Mar-14,"$14,271.92"
7-Mar-14,"$14,299.08"
10-Mar-14,"$14,302.06"
11-Mar-14,"$14,267.23"
12-Mar-14,"$14,319.00"
13-Mar-14,"$14,245.14"
14-Mar-14,"$14,227.66"
17-Mar-14,"$14,231.89"
18-Mar-14,"$14,368.98"
19-Mar-14,"$14,334.04"
20-Mar-14,"$14,361.83"
21-Mar-14,"$14,335.76"
24-Mar-14,"$14,278.55"
25-Mar-14,"$14,299.49"
26-Mar-14,"$14,184.10"
27-Mar-14,"$14,178.84"
28-Mar-14,"$14,260.72"
31-Mar-14,"$14,335.31"
1-Apr-14,"$14,380.55"
2-Apr-14,"$14,459.11"
3-Apr-14,"$14,402.21"
4-Apr-14,"$14,393.10"
7-Apr-14,"$14,270.33"
8-Apr-14,"$14,372.45"
9-Apr-14,"$14,435.58"
10-Apr-14,"$14,308.00"
11-Apr-14,"$14,257.69"
14-Apr-14,"$14,284.43"
15-Apr-14,"$14,303.92"
16-Apr-14,"$14,446.52"
17-Apr-14,"$14,500.39"
21-Apr-14,"$14,493.68"
22-Apr-14,"$14,555.97"
23-Apr-14,"$14,533.39"
24-Apr-14,"$14,554.25"
25-Apr-14,"$14,533.57"
28-Apr-14,"$14,530.91"
29-Apr-14,"$14,583.11"
30-Apr-14,"$14,651.87"
1-May-14,"$14,664.07"
2-May-14,"$14,765.15"
5-May-14,"$14,697.03"
6-May-14,"$14,612.29"
7-May-14,"$14,656.40"
8-May-14,"$14,546.03"
9-May-14,"$14,534.06"
12-May-14,"$14,654.94"
13-May-14,"$14,679.81"
14-May-14,"$14,673.73"
15-May-14,"$14,588.89"
16-May-14,"$14,514.74"
20-May-14,"$14,525.19"
21-May-14,"$14,649.86"
22-May-14,"$14,702.29"
23-May-14,"$14,708.10"
26-May-14,"$14,715.69"
27-May-14,"$14,658.02"
28-May-14,"$14,610.96"
29-May-14,"$14,588.95"
30-May-14,"$14,604.16"
2-Jun-14,"$14,680.76"
3-Jun-14,"$14,734.69"
4-Jun-14,"$14,796.79"
5-Jun-14,"$14,800.18"
6-Jun-14,"$14,838.90"
9-Jun-14,"$14,871.21"
10-Jun-14,"$14,904.38"
11-Jun-14,"$14,892.13"
12-Jun-14,"$14,909.63"
13-Jun-14,"$15,001.61"
16-Jun-14,"$15,040.43"
17-Jun-14,"$15,055.89"
18-Jun-14,"$15,109.25"
19-Jun-14,"$15,112.22"
20-Jun-14,"$15,108.97"
23-Jun-14,"$15,105.63"
24-Jun-14,"$14,962.37"
25-Jun-14,"$14,974.65"
26-Jun-14,"$15,030.74"
27-Jun-14,"$15,094.25"
30-Jun-14,"$15,146.01"
2-Jul-14,"$15,209.79"
3-Jul-14,"$15,207.11"
4-Jul-14,"$15,214.96"
7-Jul-14,"$15,172.93"
8-Jul-14,"$15,137.18"
9-Jul-14,"$15,215.19"
10-Jul-14,"$15,114.48"
11-Jul-14,"$15,125.50"
14-Jul-14,"$15,171.23"
15-Jul-14,"$15,081.32"
16-Jul-14,"$15,226.34"
17-Jul-14,"$15,204.48"
18-Jul-14,"$15,266.57"
21-Jul-14,"$15,249.99"
22-Jul-14,"$15,315.13"
23-Jul-14,"$15,394.38"
24-Jul-14,"$15,394.45"
25-Jul-14,"$15,455.04"
28-Jul-14,"$15,445.22"
29-Jul-14,"$15,446.55"
30-Jul-14,"$15,524.82"
31-Jul-14,"$15,330.74"
1-Aug-14,"$15,215.26"
5-Aug-14,"$15,187.71"
6-Aug-14,"$15,202.09"
7-Aug-14,"$15,118.43"
8-Aug-14,"$15,196.31"
11-Aug-14,"$15,261.64"
12-Aug-14,"$15,274.23"
13-Aug-14,"$15,262.73"
14-Aug-14,"$15,291.18"
15-Aug-14,"$15,304.24"
18-Aug-14,"$15,338.47"
19-Aug-14,"$15,477.17"
20-Aug-14,"$15,561.95"
21-Aug-14,"$15,556.09"
22-Aug-14,"$15,535.55"
25-Aug-14,"$15,598.74"
26-Aug-14,"$15,619.21"
27-Aug-14,"$15,602.65"
28-Aug-14,"$15,558.17"
29-Aug-14,"$15,625.73"
2-Sep-14,"$15,619.08"
3-Sep-14,"$15,657.63"
4-Sep-14,"$15,576.79"
5-Sep-14,"$15,569.92"
8-Sep-14,"$15,509.39"
9-Sep-14,"$15,536.81"
10-Sep-14,"$15,471.89"
11-Sep-14,"$15,534.32"
12-Sep-14,"$15,531.58"
15-Sep-14,"$15,482.56"
16-Sep-14,"$15,510.54"
17-Sep-14,"$15,458.88"
18-Sep-14,"$15,465.54"
19-Sep-14,"$15,265.35"
22-Sep-14,"$15,129.00"
23-Sep-14,"$15,125.67"
24-Sep-14,"$15,120.54"
25-Sep-14,"$14,893.57"
26-Sep-14,"$15,026.77"
29-Sep-14,"$14,976.92"
30-Sep-14,"$14,960.51"
1-Oct-14,"$14,805.44"
2-Oct-14,"$14,760.64"
3-Oct-14,"$14,789.78"
6-Oct-14,"$14,743.12"
7-Oct-14,"$14,576.45"
8-Oct-14,"$14,666.47"
9-Oct-14,"$14,460.60"
10-Oct-14,"$14,227.36"
