Date,Open,High,Low,Close,Adj Close,Volume
22/04/2019,173.199997,173.660004,172.039993,173.020004,173.020004,1260900
23/04/2019,174.509995,177.160004,173.029999,176.779999,176.779999,2411900
24/04/2019,177.789993,179.5,174.410004,178.270004,178.270004,2474900
25/04/2019,178.339996,179.220001,176.610001,177.289993,177.289993,1713300
26/04/2019,177.75,178.039993,175.410004,177.089996,177.089996,1585600
29/04/2019,176.610001,178.850006,176.5,177.5,177.5,1798700
30/04/2019,177.259995,177.75,175.630005,176.350006,176.350006,1268800
1/05/2019,176.229996,178.270004,175.580002,175.669998,175.669998,1306800
2/05/2019,176.649994,177.75,174.809998,176.550003,176.550003,1369500
3/05/2019,176.839996,178.979996,176.009995,178.639999,178.639999,1036600
6/05/2019,175.199997,178.220001,174.589996,177.690002,177.690002,919900
7/05/2019,177,177.5,172.100006,173.979996,173.979996,1818600
8/05/2019,173.860001,177,172.789993,175.169998,175.169998,1008300
9/05/2019,173.529999,174.889999,171.279999,173.710007,173.710007,1218400
10/05/2019,173.509995,175.110001,170.009995,173.679993,173.679993,1120500
13/05/2019,170,171.130005,166.220001,167.570007,167.570007,2019700
14/05/2019,168.539993,171.509995,167.320007,170.679993,170.679993,1684300
15/05/2019,169.820007,173.75,168.850006,172.880005,172.880005,1223300
16/05/2019,173.899994,177.059998,173.679993,176.800003,176.800003,1330000
17/05/2019,176.490005,176.649994,172.559998,173,173,1577400
20/05/2019,171.050003,174.860001,170.279999,174.149994,174.149994,1077000
21/05/2019,174.880005,177.270004,174.600006,176.529999,176.529999,1444800
22/05/2019,176,176.210007,174.529999,175.720001,175.720001,877500
23/05/2019,173.559998,174.929993,169.990005,170.199997,170.199997,1654100
24/05/2019,171.169998,173.240005,170.550003,172.720001,172.720001,1509600
28/05/2019,173.110001,176.039993,173.020004,173.550003,173.550003,2222300
29/05/2019,172.440002,172.800003,160.880005,161.589996,161.589996,4857100
30/05/2019,161.570007,165.289993,161.570007,163.850006,163.850006,1915300
31/05/2019,161.050003,165.630005,160.880005,165.589996,165.589996,1663700
